,Digital Transformation & Smart Cities,Climate Change & Environmental Sustainability,Urban Mobility & Transportation,Social Equity & Quality of Life,Urban Development & Land Use,Urban Resilience & Safety,Total
Future,474,426,152,66,136,39,1293
Past,117,173,26,37,83,20,456
Present,1461,1046,361,367,287,169,3691
Total,2052,1645,539,470,506,228,5440
