,Digital Transformation & Smart Cities,Climate Change & Environmental Sustainability,Urban Mobility & Transportation,Social Equity & Quality of Life,Urban Development & Land Use,Urban Resilience & Safety,Total
Mixed,281,176,53,61,40,4,615
Qualitative,26,19,6,10,14,2,77
Quantitative,1745,1450,480,399,452,222,4748
Total,2052,1645,539,470,506,228,5440
